buildingnumber,score_electricity,score_cooling,score_gas,score_heat,score_steam,cross_utility_score,n_utilities,cross_utility_rank,buildingname,grossarea
30,-0.11624390556614032,,,-0.23447934298199458,,-0.17536162427406746,2,211,Denney Hall (0030),103772
1011,-0.17554012537326846,,,,,-0.17554012537326846,1,212,Schumaker Complex (1011),114315
9,-0.03480097601121076,,-0.3182699439042423,,,-0.17653545995772651,2,213,ElectroScience Laboratory (0009),30898
279,-0.2997965663662344,,,-0.05369143992857634,,-0.17674400314740538,2,214,Dreese Laboratories (0279),185430
73,-0.13409600276647202,,-0.21960653266014987,,,-0.17685126771331094,2,215,Research Center (0073),119119
136,-0.07255178842570269,0.04977345317668905,-0.42608989871223213,,-0.26774542141420965,-0.17915341384386385,4,216,Veterinary Medicine Academic (0136),113459
1004,-0.4221008499030819,,0.05875284178554062,,,-0.18167400405877063,2,217,Jameson Crane Sports Medicine Institute (1004),116273
1044,-0.26112518599813683,-0.16014202129617877,,-0.347648457969416,0.02309831780914407,-0.1864543368636469,4,218,Energy Advancement and Innovation Center (1044),66170
80,-0.11866695275544516,-0.19269444298424615,-0.09884190025416091,,-0.34079260234146924,-0.18774897458383036,4,219,Sisson Hall (0080),55501
356,-0.3202125833959489,,,-0.056639999031710374,,-0.18842629121382962,2,220,"Twelfth Ave, 395 W (0356)",90747
1054,-0.191424481666687,,,,,-0.191424481666687,1,221,Stanton Veterinary Clinic (1054),33621
155,-0.18078786992554,,-0.20576441534714118,,,-0.19327614263634058,2,222,Reactor Annex (0155),6237
298,0.1211487773426842,,-0.5646867105417226,-0.14156927839357056,,-0.1950357371975363,3,223,Agricultural Engineering Building (0298),111496
232,-0.10636195701125055,,-0.2864588682354937,,,-0.19641041262337214,2,224,"Kenny Rd, 1900 (0232)",31371
253,-0.17995633435310515,-0.136913944979349,-0.22332285750619962,-0.24772069969188432,,-0.1969784591326345,4,225,Pfahl Hall (0253),58031
89,-0.1560273535038329,-0.3991131680706648,-0.13858860597703146,,-0.09633201679859883,-0.19751528608753202,4,226,Doan Hall (0089),684497
133,-0.20044856263472316,,,,,-0.20044856263472316,1,227,Waterman - South Storage 1 (0133),5450
1043,-0.26432174764061567,-0.39199881068311937,,0.04935098253714729,,-0.20232319192886258,3,228,James Outpatient Care (1043),396764
191,-0.20251511071443012,,,,,-0.20251511071443012,1,229,4-H Center (0191),45239
881,-0.2036446768617582,,,,,-0.2036446768617582,1,230,Morehouse Medical Plaza - Tower (0881),135122
99,-0.00496973122338569,-0.35854285784044937,,-0.2507412004175741,,-0.20475126316046968,3,231,Siebert Hall (0099),85851
248,0.05517336306632313,-0.4223624616146341,-0.08760182735659847,,-0.3862069097086246,-0.2102494589033835,4,232,CBEC (0248),236537
38,-0.1554127764038695,-0.27894236487346047,,,,-0.217177570638665,2,233,Hamilton Hall (0038),284272
281,-0.2537803407218478,,,-0.1815131459415483,,-0.21764674333169803,2,234,Meiling Hall (0281),76545
309,-0.2371685784608089,,-0.06033822703968328,-0.3555260290907907,,-0.2176776115304276,3,235,Pressey Hall (0309),77720
1064,,-0.17909611569120468,,-0.2592089699535392,,-0.21915254282237195,2,236,Timashev Family Music Building (1064),82535
187,-0.233580885275773,-0.3941572584496488,,-0.035150751867891045,,-0.22096296519777095,3,237,Mathematics Building (0187),28896
246,-0.146346210752839,-0.14201731433654155,-0.3844355006365207,,,-0.2242663419086338,3,238,Recreation and Physical Activity Center (0246),279856
381,-0.20645166957328825,,-0.24593855591712582,,,-0.22619511274520704,2,239,Stores and Receiving (0381),124887
