buildingnumber,mean_residual,abs_mean_residual,std_residual,n_samples,residual_z,weather_ratio,weather_sensitivity_z,baseline_load_ratio,baseline_load_z,variability_cv,variability_z,size_tier,peer_z,composite_score,rank,utility
371,0.0041051428847113935,0.0041051428847113935,0.006303976231377434,3752,3.6137317094452306,1.0031306701818716,-0.4221188721749418,0.9202477703029806,-0.011420270483938252,0.12653128915892242,-0.40890148088651457,Large (50k-150k sqft),2.66933138222841,1.3364761695030776,1,STEAM
53,0.0037453144353283467,0.0037453144353283467,0.00595568400180044,5112,3.2678615993855664,1.0549254371192682,-0.341335964233761,0.9893872797592044,0.27405160028428854,0.11838234991062624,-0.4185843800709504,Large (50k-150k sqft),2.395780059408731,1.2634809589264424,2,STEAM
85,-1.0094576003423e-05,1.0094576003423e-05,6.131897615916627e-05,5164,-0.3224629179137619,3.2334770292715853,3.056492486788506,0.63576107159809,-1.1860446021677282,1.026695020914403,0.6607094707347343,Medium (10k-50k sqft),1.1228696776456275,0.5448875738070812,3,STEAM
41,-7.924245734418002e-06,7.924245734418002e-06,4.0486834998583364e-05,5164,-0.32454905749025637,3.60511072045141,3.636119581137779,0.7082297419355219,-0.886826874763816,1.1206267756993473,0.7723229806759122,Large (50k-150k sqft),-0.44548508238213785,0.5015195087717819,4,STEAM
276,-1.82953188736354e-05,1.82953188736354e-05,4.475014098176074e-05,3080,-0.3145802953919614,1.563319898967722,0.45159323378637645,0.005122070946409666,-3.7899059357432474,4.397634594534256,4.666196203871276,Very Large (>150k sqft),1.8453398473304623,0.21469377867129807,5,STEAM
190,-1.0743509763907425e-06,1.0743509763907425e-06,1.866899790735172e-05,5164,-0.33113323352724877,0.8581716943957101,-0.6482074963468639,1.4502751704306147,2.1770232788394326,0.5681704129986371,0.1158719873825771,Large (50k-150k sqft),-0.45069255770946876,0.1562001008913054,6,STEAM
12,1.0223673597270014e-05,1.0223673597270014e-05,5.826564243275364e-05,5164,-0.322338828228611,1.1283499578279306,-0.22681770982782015,1.0056904734800447,0.3413662695318608,0.10425789422409341,-0.435367629556621,Medium (10k-50k sqft),1.1570187249423323,0.03445572778008152,7,STEAM
103,5.260578838490022e-06,5.260578838490022e-06,3.0282636780727946e-05,5164,-0.32710939635183467,0.9008934518392988,-0.581575517814703,1.3166272518180864,1.6252010045614402,0.3627649231643529,-0.12819912290467636,Large (50k-150k sqft),-0.4475100740251873,0.024235898904317557,8,STEAM
1044,0.00017483323497890664,0.00017483323497890664,0.003999175711203781,5164,-0.16411474336384696,1.1634559369669573,-0.1720638563275083,1.0355901119858633,0.46481964382798663,0.8161013677505041,0.4104735749530315,Large (50k-150k sqft),-0.3185963528316816,0.02309831780914407,9,STEAM
88,-7.347712547151573e-06,7.347712547151573e-06,4.941505544985051e-06,5164,-0.32510322600382097,1.0088076575360698,-0.41326462735573555,1.1037374522135672,0.7461949219531377,0.2850063515162708,-0.22059500254649994,Very Large (>150k sqft),-0.08246621826706506,-0.0764040920037006,10,STEAM
277,5.445846633321123e-06,5.445846633321123e-06,0.00013711151496836776,3976,-0.32693131540048515,1.1666884174114414,-0.16702224333050328,0.9725554536828221,0.20455424752229673,0.8354756513790579,0.4334948823195302,Very Large (>150k sqft),-0.41737309519466426,-0.08815472571305696,11,STEAM
69,0.0005176278733775865,0.0005176278733775865,0.004118361380195433,5164,0.16538232534791925,1.1681211789087136,-0.16478760367519393,0.8734496551255713,-0.2046461928717832,0.11901367902310624,-0.4178342092864987,Large (50k-150k sqft),-0.05799459399290284,-0.09564638219692989,12,STEAM
89,1.096968973819438e-05,1.096968973819438e-05,3.77803932438264e-05,5164,-0.32162175128483345,1.1183266516996102,-0.24245079139393785,0.9701923534420779,0.19479718311955838,0.05762942575437755,-0.4907734615992765,Very Large (>150k sqft),0.5553416632107904,-0.09633201679859883,13,STEAM
249,0.0002474290805239068,0.0002474290805239068,0.00027489992241086297,5164,-0.09433501046175323,1.0413311510619216,-0.3625386073583852,0.9908567246092319,0.2801188283226029,0.13554647112822485,-0.39818927706730584,Large (50k-150k sqft),-0.26340702687900297,-0.14402390453762876,14,STEAM
64,3.730850664356089e-06,3.730850664356089e-06,3.794809830019652e-05,5164,-0.3285797838458092,1.304271694545569,0.047562701600438385,0.9442034261240064,0.08749084324095692,0.2086676239062473,-0.3113037660791909,Large (50k-150k sqft),-0.4486730147718302,-0.18555974331311686,15,STEAM
157,-7.103663167400644e-05,7.103663167400644e-05,0.00017067189923745255,5164,-0.2638849051463258,1.0351579071562846,-0.372166850202499,0.9509696636182686,0.11542813250928961,0.19236027049121596,-0.3306808229293482,Large (50k-150k sqft),-0.397505339008089,-0.23974113937315522,16,STEAM
165,-2.3425921027233542e-05,2.3425921027233542e-05,2.218995547638192e-06,5164,-0.30964871776217734,,-0.2940026442629048,,0.11230485613507966,,-0.3306808229293482,Large (50k-150k sqft),-0.43370028940775945,-0.2438913398047844,17,STEAM
180,1.0216167306728173e-06,1.0216167306728173e-06,1.3850863060507463e-05,5164,-0.3311839221245558,1.1285518482320605,-0.22650282678276765,0.9368759129777186,0.05723608872503121,0.0975406689696411,-0.44334930827040053,Large (50k-150k sqft),-0.450732647709853,-0.26732081764595206,18,STEAM
136,6.316929710239158e-07,6.316929710239158e-07,2.8940212368321307e-05,5164,-0.3315587200981342,1.1108284914932733,-0.2541454706345813,0.9427388692747876,0.08144379739291477,0.09989309548833744,-0.440554059941105,Large (50k-150k sqft),-0.4510290783018022,-0.26774542141420965,19,STEAM
