buildingnumber,mean_residual,abs_mean_residual,std_residual,n_samples,residual_z,weather_ratio,weather_sensitivity_z,baseline_load_ratio,baseline_load_z,variability_cv,variability_z,size_tier,peer_z,composite_score,rank,utility
882,0.0001431558159194085,0.0001431558159194085,0.00016782270988967645,4000,9.93168837806242,0.9407551494433536,-0.310693462236563,0.9876482746461418,0.9762290520612046,0.14427362815728206,-0.16916924732490288,Medium (10k-50k sqft),5.261845850080093,3.876515121796933,1,GAS
371,-1.2495371984192992e-06,1.2495371984192992e-06,8.307989106576425e-06,5164,-0.25911301450585167,32.083522168325416,10.582457635264035,0.4357458304431159,-0.6393359484556236,4.257440864358963,-0.13025864062528492,Large (50k-150k sqft),-0.2823963348874978,1.8489921866830095,2,GAS
307,3.560938454616779e-05,3.560938454616779e-05,0.0003005344380789911,5164,2.2083914775845157,1.0737234779191516,-0.26418365492269275,0.9092270371986905,0.7466692669070091,0.8111992409793004,-0.16286012378866094,Large (50k-150k sqft),6.359443439138473,1.6885020629746896,3,GAS
1106,6.211245855695359e-05,6.211245855695359e-05,0.0002951989063401019,5128,4.111672755698305,1.2220358514728762,-0.2123067907452055,0.8264991310953651,0.5045027190498503,0.6634937146398139,-0.16425741967105817,Medium (10k-50k sqft),2.0525835360755855,1.5751899298310994,4,GAS
362,4.6406599118548855e-05,4.6406599118548855e-05,0.00019446441637421642,5164,2.983778375837417,1.9345212985495681,0.03690714792219028,0.8041808096992367,0.4391710661525006,0.9048186167289061,-0.161974483477906,Medium (10k-50k sqft),1.4306420908403075,1.1806492966705233,5,GAS
310,2.3891906785161494e-05,2.3891906785161494e-05,0.0003304994978468584,5164,1.36691716256121,1.22417586214154,-0.2115582554737608,0.7385587630100651,0.24707791090945747,1.9266932914980386,-0.15230753796295535,Large (50k-150k sqft),4.09442726905307,1.0084970395190196,6,GAS
270,1.6179972902716057e-05,1.6179972902716057e-05,7.715872401536556e-05,5164,0.8130953919041014,1.3054882851345155,-0.18311670725714507,0.7945962768912835,0.4111145936482075,0.28515289630780016,-0.1678365279190669,Very Large (>150k sqft),4.8946818618098415,0.9985549949330591,7,GAS
277,-2.072381243557635e-06,2.072381243557635e-06,5.4336745614134436e-08,5164,-0.20002161758782383,0.0,-0.6397518269741891,0.0,-1.914879697499195,1071.7523271358186,9.968254570308382,Very Large (>150k sqft),-0.04739093725286853,0.9171967547873031,8,GAS
358,3.4853254781123235e-05,3.4853254781123235e-05,0.00014799184224937467,5164,2.1540910735993704,1.2815285058061479,-0.19149738506680908,0.8902340590604854,0.6910717767020595,0.30334461861490974,-0.16766443402858497,Medium (10k-50k sqft),0.9731374440745939,0.8669631519137625,9,GAS
964,3.817276750165741e-06,3.817276750165741e-06,0.00012149732398465676,5136,-0.07471438158038765,2.6236371664325695,0.2779468496283189,2.1016130361009804,4.237099699253832,6.422874304772316,-0.10977361677492153,Small (<10k sqft),-0.172015300577057,0.8383266576995173,10,GAS
29,1.8409949449775076e-05,1.8409949449775076e-05,0.00019992593114971432,5164,0.9732380459570991,2.420520723809782,0.2069005582523685,0.6821391763584725,0.08192279972026233,3.7582772628341248,-0.13498073371373268,Small (<10k sqft),2.4132251791735,0.691472752200621,11,GAS
130,1.646118131203688e-05,1.646118131203688e-05,0.0002343644669005924,5164,0.8332899814257043,1.5484522297200551,-0.09813251307779138,0.8009330715871852,0.4296640743285166,1.6671295289549133,-0.15476301397397096,Small (<10k sqft),2.0679810707749224,0.603276015197999,12,GAS
222,1.7243016000036535e-05,1.7243016000036535e-05,0.0002587776768711648,5164,0.889436348584627,0.9638254154243554,-0.30262391937808125,0.7367776288658947,0.24186405832595886,1.1903410521240798,-0.15927343813994935,Small (<10k sqft),2.206491042559869,0.5617615730279515,13,GAS
54,-2.072969123116387e-06,2.072969123116387e-06,5.397493091751248e-08,5164,-0.19997939983762988,0.0,-0.6397518269741891,0.0,-1.914879697499195,716.0767766804677,6.603560002426314,Large (50k-150k sqft),-0.1232249959317602,0.4011301261282172,14,GAS
226,8.362792330875672e-07,8.362792330875672e-07,7.491108922492773e-05,5164,-0.28879055863251357,5.27549217207156,1.2055155928801442,1.1871474151934613,1.5602160093338064,3.659068410560495,-0.1359192505330742,Medium (10k-50k sqft),-0.3739118541729981,0.39003448714712524,15,GAS
158,1.7367675328209534e-06,1.7367675328209534e-06,0.00010399961429545262,5160,-0.22412324791430852,7.938122108959512,2.1368532033648955,0.7762551321083543,0.3574251927550816,7.5179020722807515,-0.0994146422086386,Small (<10k sqft),-0.5405986819694107,0.3356167062229955,16,GAS
290,4.263019283526027e-06,4.263019283526027e-06,6.689162607438246e-05,5164,-0.042704003529208154,3.5951302751012193,0.6177567713508125,1.0218125703363847,1.0762370171720823,1.8701006031319898,-0.15284290540916667,Medium (10k-50k sqft),-0.23821525840416585,0.26732883207381664,17,GAS
850,2.3991912717270495e-06,2.3991912717270495e-06,1.5462284031461137e-05,5164,-0.17655221144038785,0.899050207522745,-0.3252810624192389,1.286787948796901,1.8518903086839296,0.7542005339111905,-0.16339933217620076,Very Large (>150k sqft),0.06709486512208697,0.23791051576270472,18,GAS
384,7.409934682953545e-06,7.409934682953545e-06,0.00016768136154361155,5164,0.18328733472464398,2.732021877302716,0.3158577722978294,0.7363920778322228,0.24073544807525984,3.8388419419104287,-0.1342185909752055,Small (<10k sqft),0.46446061503699193,0.21584114810127902,19,GAS
