buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,qrf_mean_interval,qrf_uncertainty,ngb_mean_std,ngb_uncertainty,rank_std,n_models,model_disagreement,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
18,5164,1.4404547772562155e-07,,0.020723868424519867,1.2430485437112744e-08,0.04136470852840171,0.0002709335579463371,0.00030655440974505045,9.549869109050658,5,0.06477252173812945,0.03603607734235698,High,Campbell Hall (0018),115368,ELECTRICITY
272,5164,2.272787263335571e-06,0.03340313291948181,0.02439163374413423,2.3677933397195466e-05,0.03116327421188446,0.00026943942244589555,0.00043041577181307885,12.872451204024818,5,0.09122546332822931,0.042540510040452145,High,Morrill Tower (0272),322612,ELECTRICITY
254,5164,5.5422896065421155e-06,0.06067786780332014,0.030709876572488103,3.857533866375749e-05,0.03924262161555291,0.00026943942244589555,0.000308141367282976,13.255187663703596,5,0.09427264317898423,0.04735163253442238,High,Blackwell Inn (0254),127992,ELECTRICITY
882,5164,5.0031780697129233e-05,0.1034282570030516,0.09683662613734202,7.51122608097379e-05,0.010216907211719655,0.00029870546288468037,2.579950737343584e-05,11.77709641634983,5,0.08250472885408894,0.056360503226465214,High,Morehouse Medical Plaza - Concourse (0882),41461,ELECTRICITY
279,5156,9.956437791677321e-06,0.05703067947123549,0.035424444526835956,2.122315214202958e-05,0.006534864005158466,0.00026943942244589555,0.00013762021163794518,19.892209530366404,5,0.14711370075183322,0.05641580261663606,High,Dreese Laboratories (0279),185430,ELECTRICITY
190,5164,1.4404547772562155e-07,,0.020723868424519867,1.2430485437112744e-08,0.04136470852840171,0.0002709335579463371,0.00030655440974505045,18.676188047886004,5,0.13743227096955093,0.05783400211178343,High,Morrison Tower (0190),111504,ELECTRICITY
180,5164,3.8514563318586965e-05,0.10071480168002257,0.07462805008656023,5.834108926731402e-05,0.009921801055687074,0.00028903848357088953,4.254494905435581e-05,16.37986568931504,5,0.11914995935557998,0.06062023483892199,High,Goss Laboratory (0180),67943,ELECTRICITY
267,5164,4.544383641801686e-06,0.05691438170121438,0.02862178438490232,3.635513689121049e-05,0.04282793989088269,0.00026943942244589555,0.00035954379378707625,18.796276226955168,5,0.13838836038909702,0.06086395997398854,High,Jones Tower (0267),155353,ELECTRICITY
249,5164,7.6355282917335e-06,0.05682704755526184,0.03359610845839418,6.041438443934885e-05,0.0422100662963213,0.00026943942244589555,0.00019379685395080217,19.424211695716252,5,0.14338770722317973,0.06367673080664513,High,Fisher Hall (0249),132056,ELECTRICITY
106,5164,5.1695821199875435e-06,0.08253822888091061,0.02972176578347919,3.4469494624015016e-05,0.05315649761121254,0.00026943942244589555,0.0004718109305476011,19.144189719076646,5,0.14115829504305738,0.06462391429034625,High,Sullivant Hall (0106),135883,ELECTRICITY
276,5164,6.001050254951076e-06,0.03316073561459199,0.030261066938517725,2.150210284669822e-05,0.006254204130716942,0.00026943942244589555,0.00013128278715108269,24.1039415863879,5,0.18064566441335242,0.06485526285631295,High,Biological Sciences Building (0276),180694,ELECTRICITY
372,5164,5.64233504684651e-06,0.028928026565733664,0.028864612541683342,1.5121392611246963e-05,0.001766435427374454,0.00026943942244589555,0.00011827323884329784,26.842131062939096,5,0.20244592824893964,0.06985251207985702,High,Brain and Spine Hospital (0372),258797,ELECTRICITY
295,5164,2.5738028075703495e-05,0.09245231913006208,0.06099287654098606,5.734917776083884e-05,0.01573018521373695,0.0002753165968107977,7.076520752012106e-05,22.027255843613386,5,0.16411200321722938,0.0714746250120269,High,Howlett Hall (0295),62825,ELECTRICITY
