buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
113,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Davis Heart and Lung Research Institute (0113),139528,GAS
146,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Bolz Hall (0146),82179,GAS
148,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Scott Laboratory (0148),262375,GAS
147,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Newman and Wolfrom Laboratory of Chemistry (0147),62058,GAS
18,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Campbell Hall (0018),115368,GAS
180,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Goss Laboratory (0180),67943,GAS
213,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Center for Integrative Medicine (0213),9460,GAS
171,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Dodd Hall (0171),86802,GAS
248,5164,0.0,,0.02042058395433139,0.010210291977165695,High,CBEC (0248),236537,GAS
61,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Page Hall (0061),64665,GAS
65,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Smith Laboratory (0065),218468,GAS
347,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Jesse Owens Recreation Center North (0347),23728,GAS
297,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Howlett Greenhouses (0297),41678,GAS
28,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Faculty Club (0028),32811,GAS
275,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Newton Hall (0275),80675,GAS
274,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Hitchcock Hall (0274),118612,GAS
50,5164,0.0,,0.02042058395433139,0.010210291977165695,High,Thompson Library (0050),308820,GAS
80,5164,8.363184797759948e-08,,0.020521802683278814,0.010260901341639407,High,Sisson Hall (0080),55501,GAS
144,5164,1.1026723210601718e-07,,0.02055403920311785,0.010277019601558924,High,Psychology Building (0144),132733,GAS
375,5164,7.804789262225793e-07,6.9708429771894815,0.022218684792167962,0.011109342396083981,High,James Cancer Hospital (0375),1183561,GAS
112,5164,1.928405082537994e-06,6.311977458166129,0.023485039880555073,0.011742519940277536,High,Biomedical Research Tower (0112),412630,GAS
88,5164,1.6485312844438721e-06,8.227920335699393,0.023503894392812617,0.011751947196406308,High,Parking Garage - Tuttle Park Pl (0088),364069,GAS
89,5164,3.037600095790826e-06,1.3898901059586302,0.023908850960513005,0.011954425480256502,High,Doan Hall (0089),684497,GAS
24,5164,2.774972569579922e-06,4.613353287083169,0.02419260802838817,0.012096304014194086,High,Postle Hall (0024),394592,GAS
84,5164,4.311564726524644e-07,21.594680405525715,0.024525229351105356,0.012262614675552678,High,Stillman Hall (0084),68544,GAS
372,5164,1.2525027415932796e-06,16.60780259805761,0.024588567989324003,0.012294283994662002,High,Brain and Spine Hospital (0372),258797,GAS
17,5164,9.295446427903716e-11,35.92004808928233,0.026677138555117864,0.013338569277558932,High,Knowlton Hall (0017),174422,GAS
150,5164,1.7124836827623614e-06,26.29116948182106,0.02695253706312421,0.013476268531562105,High,Evans Laboratory (0150),117574,GAS
170,5164,4.877224401816747e-06,1.9469116211177027,0.026992005326248552,0.013496002663124276,High,Parking Garage - SafeAuto Hospitals (0170),367640,GAS
136,5164,1.7908379607758309e-06,26.36582009026518,0.02706130085205434,0.01353065042602717,High,Veterinary Medicine Academic (0136),113459,GAS
64,5164,3.6235536517019972e-06,15.812420315722754,0.02730977899246126,0.01365488949623063,High,Parker Food Science and Technology (0064),78629,GAS
977,5164,8.986817984522817e-07,35.93426097760559,0.02776734362689319,0.013883671813446595,High,ElectroScience Laboratory Complex (0977),40704,GAS
53,5164,8.102540152466626e-07,36.86238200002436,0.027833540669210205,0.013916770334605102,High,McPherson Chemical Laboratory (0053),117661,GAS
340,5164,9.432734087689702e-07,36.341477754631214,0.027897313441707233,0.013948656720853617,High,Kottman Hall (0340),166094,GAS
298,5164,1.1125291698475826e-06,36.31097547126392,0.02809646906874064,0.01404823453437032,High,Agricultural Engineering Building (0298),111496,GAS
81,5164,4.691631251393616e-06,0.3040474558697397,0.02821722989646398,0.01410861494823199,High,Schottenstein Center (0081),626259,GAS
73,5164,6.3851108322683625e-06,5.866170079791719,0.028795739627490734,0.014397869813745367,High,Research Center (0073),119119,GAS
354,5164,4.721113010194602e-06,1.1671406383328593,0.029876963441391072,0.014938481720695536,High,Rhodes Hall (0354),508398,GAS
371,5164,8.307989106576425e-06,4.257440864358963,0.030822732762670876,0.015411366381335438,High,Celeste Laboratory of Chemistry (0371),110310,GAS
276,5164,8.331447174473459e-06,6.791120038949335,0.03132399804237734,0.01566199902118867,High,Biological Sciences Building (0276),180694,GAS
272,5164,6.711865964040002e-06,1.6170363180838436,0.03149448931256221,0.015747244656281106,High,Morrill Tower (0272),322612,GAS
246,5164,8.413654642798307e-06,2.708255001115338,0.031501259064787235,0.015750629532393617,High,Recreation and Physical Activity Center (0246),279856,GAS
160,5164,5.623709336833519e-06,26.801981104347593,0.03178158707058029,0.015890793535290146,High,Student Academic Services (0160),137002,GAS
302,5164,4.384641929327628e-06,35.84114739624796,0.031968985507827015,0.015984492753913507,High,Prior Hall (0302),147486,GAS
157,5164,6.00437097875613e-06,26.272015872115457,0.032143387500294406,0.016071693750147203,High,Wiseman Hall (0157),82032,GAS
303,5164,9.466316084262346e-06,3.2705455401172703,0.03289216143163771,0.016446080715818854,High,McCampbell Hall (0303),133041,GAS
