Utility,R²,RMSE,MAE,Buildings,Test Samples,Trees Used
ELECTRICITY,0.9536704096387699,5.583218231130775e-05,1.3152789094420964e-05,263,781716,170
COOLING,0.965600411020361,0.0003620244334915952,7.138914052237354e-05,86,253212,312
GAS,0.639448605195801,9.689004505122446e-05,3.726588079873488e-05,146,432280,166
HEAT,0.920182971654577,3.256267062511155e-05,1.730916024199395e-05,129,380968,106
STEAM,0.9646153284542891,0.0028765019701569305,0.0008338992912924553,26,72708,195
