building,ELECTRICITY,COOLING,GAS,HEAT,STEAM,n_utilities
921,1,0,1,0,0,2
91,1,0,1,0,0,2
983,1,0,1,0,0,2
902,1,0,1,0,0,2
97,1,0,0,1,0,2
964,1,0,1,0,0,2
98,1,0,0,1,0,2
977,1,0,1,0,0,2
381,1,0,1,0,0,2
38,1,1,0,0,0,2
373,1,0,1,0,0,2
390,1,0,0,1,0,2
394,1,0,1,0,0,2
42,1,0,0,1,0,2
385,1,0,1,0,0,2
384,1,0,1,0,0,2
869,1,0,1,0,0,2
90,1,0,0,1,0,2
9,1,0,1,0,0,2
878,1,0,1,0,0,2
127,1,1,0,0,0,2
12,1,0,0,0,1,2
113,1,0,1,0,0,2
112,1,0,1,0,0,2
130,1,0,1,0,0,2
128,1,0,1,0,0,2
106,1,0,0,1,0,2
1064,0,1,0,1,0,2
1054,1,0,0,0,0,1
1056,1,0,0,0,0,1
1316,1,0,0,0,0,1
132,1,0,0,0,0,1
1320,0,0,1,0,0,1
133,1,0,0,0,0,1
866,1,0,0,0,0,1
867,0,0,1,0,0,1
868,0,0,1,0,0,1
870,0,1,0,0,0,1
875,1,0,0,0,0,1
880,1,0,0,0,0,1
881,1,0,0,0,0,1
892,1,0,0,0,0,1
92,1,0,0,0,0,1
958,1,0,0,0,0,1
959,1,0,0,0,0,1
965,0,0,1,0,0,1
374,0,0,1,0,0,1
377,1,0,0,0,0,1
379,1,0,0,0,0,1
382,1,0,0,0,0,1
387,1,0,0,0,0,1
39,1,0,0,0,0,1
352,1,0,0,0,0,1
359,1,0,0,0,0,1
264,1,0,0,0,0,1
278,1,0,0,0,0,1
287,1,0,0,0,0,1
288,1,0,0,0,0,1
191,1,0,0,0,0,1
1926,0,0,1,0,0,1
211,1,0,0,0,0,1
213,0,0,1,0,0,1
218,1,0,0,0,0,1
228,1,0,0,0,0,1
230,1,0,0,0,0,1
231,1,0,0,0,0,1
247,0,0,0,1,0,1
159,1,0,0,0,0,1
162,1,0,0,0,0,1
174,1,0,0,0,0,1
176,1,0,0,0,0,1
83,1,0,0,0,0,1
847,1,0,0,0,0,1
848,1,0,0,0,0,1
849,1,0,0,0,0,1
1041,1,0,0,0,0,1
1028,1,0,0,0,0,1
992,1,0,0,0,0,1
1011,1,0,0,0,0,1
