building,n_samples,rmse,mae,r2,mean_residual,std_residual
136,5164,1.0178494795088583e-05,5.826551610382586e-06,0.986135600498133,-4.974036245409505e-07,1.0167318437100776e-05
295,5164,2.581223394853597e-05,1.690363374157786e-05,0.9563350594996819,-1.9883696261533456e-06,2.573802807570348e-05
180,5164,3.8514351099768986e-05,1.9297291305453706e-05,0.9540397714865047,-5.204857850126198e-07,3.851456331858701e-05
157,5164,1.7977421853853608e-05,1.2738639807236102e-05,0.9523591199847802,3.852764608428224e-07,1.7975033426694548e-05
363,5164,1.756251304906584e-05,1.1536486940618413e-05,0.9497375740635177,-5.280241300655356e-07,1.7556273577765465e-05
308,5164,2.8639208544303786e-05,1.384405199861003e-05,0.9489018681777421,1.4485046188454505e-06,2.8605323909752435e-05
260,5164,4.798647457484969e-06,3.820303768622021e-06,0.9473326506218004,-1.4163181277915977e-06,4.585316986194799e-06
54,5164,9.517753398649833e-06,6.850522599720403e-06,0.943480324137636,-1.0818524589228829e-07,9.518060148185572e-06
113,5164,1.3048992032081178e-05,9.395302500024181e-06,0.9401390956629733,-3.4143638758316417e-07,1.3045787509945036e-05
65,5164,2.828709215815275e-06,2.1436467950481103e-06,0.9352982906411457,-4.2232146478627623e-07,2.797276471663327e-06
24,5164,4.320557088039538e-06,3.372862496704956e-06,0.9293216549698787,-5.057035034217949e-07,4.2912752836602166e-06
189,5164,8.746277977838899e-06,6.59096684922339e-06,0.9278451641402768,-1.8942827949395047e-06,8.539507750053918e-06
297,5164,2.1417603307023797e-05,1.5109624695278181e-05,0.9269255791801382,-7.485248246844812e-07,2.1406591971606504e-05
144,5164,1.757628209234927e-05,9.094975982855048e-06,0.9236684015007545,-6.5940489953760604e-06,1.629403641893644e-05
112,5164,2.1587203660766357e-05,1.3436536381450425e-05,0.9223984239315667,-8.870891800376089e-07,2.157105795480297e-05
176,5164,3.792089538320275e-06,2.9929441782037535e-06,0.9220955006744924,-1.4925107058352872e-06,3.4863603655794263e-06
97,5164,1.3754429742122777e-06,1.1112706816462951e-06,0.9214326523609092,-4.32887577082603e-07,1.3056729487446093e-06
50,5164,3.7985529019215046e-06,2.9901726979920528e-06,0.9213530276215636,-7.424832189195037e-07,3.7256423253906555e-06
147,5164,1.2017852519417997e-05,8.891775613339728e-06,0.9204970559016045,1.3049624167478804e-06,1.1947949457800986e-05
11,5164,2.1378939397307155e-06,1.6657720747107186e-06,0.9196655011287075,-6.340201507870712e-07,2.0419148724824717e-06
277,5164,7.486656159506964e-06,5.527161605371264e-06,0.9179050507834493,-3.2825471250770814e-07,7.480180781231652e-06
1106,5164,2.7084226758118464e-05,2.0172508392185842e-05,0.9170659241502608,-6.000922959499149e-07,2.7080200107391206e-05
163,5164,1.741571425912317e-05,9.270322803558419e-06,0.9158785613428951,-6.575338050684344e-07,1.7404982476346692e-05
47,5164,1.5019547574756205e-05,1.0981073919608678e-05,0.9149523624065754,-3.394510057548605e-06,1.4632346770324276e-05
379,5164,1.0359197339760113e-05,7.847105501340233e-06,0.9145861191155772,-2.2759000443335056e-07,1.0357699903183232e-05
38,5164,3.4506928503490813e-06,2.647385722408029e-06,0.9121674850720147,-8.796254874439911e-07,3.337019112678649e-06
275,5164,7.318966099099292e-06,5.251729739561449e-06,0.9099390326804844,-1.4205006942370828e-06,7.180489324175391e-06
84,5164,1.0537435007771132e-05,7.6700793671936e-06,0.909734947935102,-1.9065792183277089e-06,1.036452095223579e-05
211,5164,1.7647750989307354e-05,1.224926376356407e-05,0.9090404030000733,-4.487463908401261e-07,1.764375313746964e-05
881,5164,5.13053766353718e-06,3.7054215033456346e-06,0.9081670345747365,-9.061179700238271e-08,5.130234196252081e-06
1108,5164,9.01769037858023e-06,6.8193733185797876e-06,0.9072026191162053,-5.204340746728203e-07,9.00353186067995e-06
30,5164,9.967619126365132e-06,6.611696611409576e-06,0.9063365911863613,-5.063669964485302e-07,9.95571279234106e-06
60,5164,7.4108859779280744e-06,5.503252045166094e-06,0.906078351244611,-1.3303170011651455e-06,7.291212679992175e-06
995,5164,2.2647415663508748e-05,1.4509679225532394e-05,0.9059002354824489,-3.069668446469124e-07,2.264752816230361e-05
232,5164,1.0157939657454204e-05,7.551710858913564e-06,0.90432329592623,-1.3402080090741957e-06,1.0070115089499351e-05
388,3432,0.0003999342026183862,0.0003107011070893787,0.9038814846047669,0.00015491852234452713,0.0003687644792826648
250,5164,8.461233428612883e-06,6.224939259033568e-06,0.90300089589236,-1.8310024517045117e-07,8.460071240141096e-06
850,5164,6.284652546854432e-06,4.746127593609381e-06,0.9025754488877197,-1.3007626514943905e-06,6.1491622541634045e-06
303,5164,1.1371873169182258e-05,7.846240131629464e-06,0.9024645812686755,-9.625219311426083e-07,1.1332163024954816e-05
1103,5164,5.990405786660363e-06,4.664468651474656e-06,0.9020126862938598,-1.2184907229769382e-06,5.865739909565141e-06
66,5164,4.13905865206724e-06,3.2653647541316636e-06,0.9011895442151536,-8.854184881882526e-07,4.043637838790281e-06
921,5164,5.496964156202941e-06,4.23088822467225e-06,0.9008119373109629,-1.0694357842630538e-06,5.392453342523164e-06
14,5164,1.4126253639191764e-05,8.798766350800684e-06,0.8984504806435962,-1.040508371716312e-06,1.408924500188658e-05
276,5164,6.000489858049469e-06,4.124121684169323e-06,0.8979932809676667,-1.575293394023209e-08,6.001050254951074e-06
161,5164,1.1092036323675326e-05,8.0502388197709e-06,0.8970014799007631,-9.507990030220459e-07,1.1052280568658972e-05
90,5164,6.400069067968843e-06,4.337843727463765e-06,0.8962142039012114,-9.078014437104249e-07,6.335973053896275e-06
294,5164,4.921621449442304e-06,3.5626015437858117e-06,0.8961260094236897,-9.193996650563245e-07,4.83545134950415e-06
25,5164,3.950738220909036e-06,3.0623133088075293e-06,0.8961115756061951,-4.545898930461735e-07,3.9248775276108495e-06
299,5164,1.989224095140018e-05,1.4512761392876188e-05,0.8960924197500381,-5.361745555367323e-10,1.989416727361694e-05
339,5164,3.4277602123000624e-06,2.536804882208877e-06,0.8936904272343325,-9.454409995831889e-07,3.2951151696291535e-06
72,5164,1.119495446208792e-05,7.9305017882758e-06,0.8932776130104628,-3.450635877924899e-07,1.119071881217463e-05
131,5164,1.3436400430725084e-05,8.147663282346882e-06,0.8927918966144295,-6.012236312217964e-08,1.3437567062869577e-05
350,5164,4.025431297550022e-06,2.9942692717311426e-06,0.8915204928628719,-6.16069913004571e-07,3.9783941466170885e-06
87,5164,4.3088324776928485e-06,3.2510686643265354e-06,0.8914007587087096,-7.005150542613414e-07,4.251919203414028e-06
73,5164,8.70667849055686e-06,6.1565328995939914e-06,0.891175818472445,7.246861880385668e-08,8.707220005112232e-06
132,5164,2.5913554277536626e-05,1.958947504272463e-05,0.8911093647261278,1.02325433034199e-06,2.5895851125144727e-05
171,5164,2.2743628251508433e-05,1.5040667878569478e-05,0.8900616761214792,2.3072647057364495e-06,2.26284845476563e-05
156,5164,1.0930027195692759e-05,8.432750750243078e-06,0.8897690527284267,-1.0293561953002514e-06,1.0882502188012832e-05
1011,5164,1.2123354610890715e-05,9.066421808262282e-06,0.8896654038673973,-1.1221833965139967e-06,1.20724750840765e-05
340,5164,6.462289376375663e-06,4.624368203393728e-06,0.8893284316832075,-7.215159265951672e-07,6.422506245365834e-06
251,5164,1.029957709976481e-05,7.315828595451474e-06,0.8882425432009183,1.7353816020551576e-07,1.0299112270076105e-05
381,5164,8.290188310978588e-06,6.230971755852957e-06,0.8867098501429813,-8.775482108582375e-07,8.244409845664216e-06
3,5164,8.644315174686541e-06,6.409521430074048e-06,0.8855888607844628,-1.1779451004782296e-06,8.564510169677494e-06
222,5164,1.6982900358739768e-05,1.2409996627110426e-05,0.885572367857947,-2.0349580455537844e-06,1.686217396845383e-05
270,5164,8.292164830391411e-06,6.4317218784778305e-06,0.8854269700117201,-9.093078125689307e-07,8.242955450992145e-06
46,5164,9.54116496499222e-06,6.297997934377401e-06,0.8833803598950275,-2.945332607039701e-07,9.537541308381174e-06
1037,5164,1.3418060705771482e-05,9.944619694731609e-06,0.8832175171444919,-1.331891894391653e-06,1.3353087490958105e-05
385,5164,1.679297895278716e-05,1.2073431931436542e-05,0.88054416307524,-1.3711011578957132e-06,1.67385327857487e-05
67,5164,9.753331993174918e-06,7.233169129198388e-06,0.8804450811858289,-7.485327037697742e-07,9.725507703202315e-06
148,5164,5.75513372384021e-06,4.2407498824676225e-06,0.880431049385129,4.868639795667982e-07,5.735058579656758e-06
882,5164,5.0159590864905064e-05,3.112162015595017e-05,0.8804281385127917,-3.645574367515022e-06,5.00317806971293e-05
105,5164,1.5588213970475226e-05,1.0182352196612796e-05,0.8784387612438511,4.4059882782265613e-07,1.5583494924209972e-05
17,5164,4.031672160054799e-06,3.135217492537105e-06,0.8780485762468874,-8.393048377345256e-07,3.943724077599931e-06
261,5164,1.3920173424688956e-05,1.020275693592785e-05,0.8777633463702932,-2.4014909002374896e-06,1.3712785397428819e-05
49,5164,4.7297692655588976e-06,3.541847385161903e-06,0.8770698117856897,-1.3432908665151951e-06,4.535445992618459e-06
146,5164,3.883618941793808e-06,3.05018654075154e-06,0.8769408968459329,-6.658103078510365e-07,3.826490314031983e-06
271,5164,5.834225395355073e-06,4.216050925647144e-06,0.8738784561469582,-1.528050267192028e-06,5.6311090217715045e-06
63,5164,7.466926507301128e-06,5.699123300233907e-06,0.8728881825016752,-7.242873570542532e-07,7.432435444470003e-06
12,5164,1.4469806987177992e-05,1.099444017416288e-05,0.8728105963446362,-1.9781861002977164e-06,1.433533707651689e-05
37,5164,7.682935900188494e-06,5.236410509716676e-06,0.8725970544830218,-1.167790176732574e-06,7.594401806948413e-06
41,5164,2.945906261857622e-06,2.208412527109747e-06,0.8724856911401904,-8.389810363850837e-07,2.8241846729715505e-06
267,5164,4.5942486711060714e-06,3.470009671361232e-06,0.8723196382075747,-6.780097946899245e-07,4.54438364180169e-06
376,3372,0.00039968142146384265,0.0003158834206183502,0.8721769299276738,0.00021381658501128106,0.00033772997011634754
160,5164,9.110677130772866e-06,6.118641385896198e-06,0.8719520294455372,-7.806708679669344e-07,9.078047671180454e-06
194,5164,8.868530249199592e-06,6.538987291834359e-06,0.8696882772312151,-1.3884261990768369e-06,8.760020642051083e-06
10,5164,7.885305443862868e-06,5.932698140493551e-06,0.8693294591631013,-5.291595401938649e-07,7.868292120687841e-06
382,5164,3.3428184409376045e-06,2.6118039825166244e-06,0.868761240164252,-6.64156875394187e-07,3.2764935019228855e-06
1025,5164,4.335525625087927e-06,3.4130362386303472e-06,0.8685236987188198,-7.822306606331181e-07,4.264788364803415e-06
878,5164,1.4879601907124219e-05,1.01203039509613e-05,0.8677246400419164,1.2275064475177635e-07,1.4880536442450231e-05
106,5164,5.304391556793564e-06,3.9507635304922515e-06,0.8665985736767385,-1.1904476732565765e-06,5.169582119987545e-06
53,5164,4.595450805294517e-06,3.3328382760172443e-06,0.8643355028765016,4.6042636629483703e-07,4.5727699368468295e-06
7,5164,4.10203377704268e-06,2.864236452890022e-06,0.8636063901949554,-1.2519361480811322e-07,4.1005199330057905e-06
846,5164,1.172689377545996e-05,8.071784286384507e-06,0.863224596470281,-1.03090140313379e-06,1.168262426687758e-05
217,5164,1.2313164320225208e-05,6.643577952049201e-06,0.8629059256932009,-3.1855908508868004e-07,1.2310234827945266e-05
274,5164,5.6876176321766834e-06,4.298222656657731e-06,0.862304430446983,-1.092226788655507e-06,5.582299656489587e-06
272,5164,2.5203891746127326e-06,2.080258199031439e-06,0.8618097648061097,-1.0898623535073527e-06,2.272787263335571e-06
356,5164,1.821671615456287e-05,1.2950903636290349e-05,0.8617854490346224,-3.602014077011074e-07,1.8214918382357506e-05
187,5164,4.146045238881666e-06,3.01340475619575e-06,0.8611497947947848,-8.046199136394912e-07,4.067613787277247e-06
951,5164,1.1107759597441569e-05,6.987372602129582e-06,0.8608827302513344,-1.6786172333823473e-06,1.0981253075494535e-05
852,5164,4.2182941562951235e-06,3.3206432746025785e-06,0.8608663257752637,-9.93655411531696e-07,4.099988990618199e-06
52,5164,1.3228486758833508e-05,9.64456188240207e-06,0.8608261682238907,-1.7339095327899655e-06,1.3115629264170411e-05
371,5164,1.2838661978033968e-05,8.950534249085276e-06,0.8603269448276409,6.391820491799603e-07,1.2823982768268975e-05
246,5164,1.764943621073274e-05,1.3051801529493828e-05,0.8594559184500586,7.885399695622645e-07,1.763351968505253e-05
85,5164,1.4397764350314456e-05,1.0317233430074904e-05,0.8571048098193448,-1.2162564212590598e-06,1.4347689790195578e-05
280,5164,3.5146294504528192e-06,2.6697216403882174e-06,0.8567277459295941,-8.315306223908146e-07,3.4151772432623656e-06
311,5164,3.488285969558738e-05,2.165101053193458e-05,0.8552898809133929,-1.9607339197960755e-06,3.48310832165939e-05
266,5164,3.5079973221793007e-06,2.56984615335549e-06,0.8551208688984551,4.3666097197801544e-07,3.4810514193371336e-06
302,5164,9.575780672325745e-06,6.9927034927917255e-06,0.8534277516403537,-1.4669102760378487e-06,9.463672283160726e-06
1004,5164,2.163839249001988e-05,1.6368204101725236e-05,0.8521759728711937,-3.0168309597756294e-07,2.1638384570580633e-05
70,5164,4.732910516170717e-06,3.3367330062173536e-06,0.8521028561947062,2.625783974758096e-07,4.726078695236849e-06
245,5164,2.275913786131725e-06,1.686286374567914e-06,0.8487403181819637,-6.597666608449645e-07,2.1783963037000033e-06
281,5164,8.446849474836825e-06,6.021481707713112e-06,0.8478783384336563,-3.4737207778748567e-07,8.440520994654626e-06
61,5164,1.9887682742001282e-05,1.1901039551939931e-05,0.8465011846371916,-8.776061739384656e-07,1.987023376017653e-05
263,5164,5.67541388229203e-06,4.394788405878617e-06,0.846064961454044,-1.1879324979377368e-06,5.550234632232731e-06
